name,lat,lon,cuisine,tags,price_range,rating,city,address,review_count
Jong Ka Jib,40.0520643,-75.1273939,korean,"{'delivery': 'None', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}",medium,4.5,Philadelphia,6600 N 5th St,351
Marcie Blaine,39.950036,-75.162158,desserts,"{'delivery': 'False', 'takeout': 'False', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",high,3.5,Philadelphia,108 S 13th St,8
The Twisted Tail,39.9418766,-75.1451988,event planning & services,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,509 S 2nd St,604
Chick-fil-A,40.08178,-75.0267907,event planning & services,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",low,4.0,Philadelphia,9711 Roosevelt Blvd,80
Checkers,39.9719414,-75.159771,fast food,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",low,2.0,Philadelphia,1208 N. Broad,21
NY Bagel & Deli Shop,39.960811,-75.1573883,bagels,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,1120 Buttonwood St,31
KFC,40.031578,-75.104787,chicken shop,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': 'None'}",low,2.0,Philadelphia,716 Adams Ave,7
The Royal Indian Cuisine,39.948365,-75.1744997,indian,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,272 S 20th St,28
McDonald's,40.0884161,-74.9650112,fast food,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,1.5,Philadelphia,501 Franklin Mill Cir,20
CVS Optical,39.9315261618,-75.1607671842,shopping,"{'delivery': 'True', 'takeout': 'False', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}",medium,2.5,Philadelphia,1405 South 10th St,35
Cedar Park Cafe,39.94796,-75.22198,diners,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.0,Philadelphia,4914 Baltimore Ave,301
Edible Arrangements,40.035169,-75.216409,flowers & gifts,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,3.5,Philadelphia,"6153 Ridge Ave, Unit A",10
The Coventry Deli,39.953291,-75.173645,delis,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,4.0,Philadelphia,2000 Market St,65
Sean Thorntons Public House,39.988107,-75.105553,irish pub,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}",low,3.5,Philadelphia,2401 E Allegheny Ave,6
Flambo Caribbean Restaurant,39.9686973,-75.1606146,trinidadian,"{'delivery': 'None', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}",medium,4.5,Philadelphia,820 N Broad St,138
Wawa,39.9510885597,-75.1989988336,delis,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,3.5,Philadelphia,3744 Spruce St,50
Minas Pizza,40.0352350987,-75.2167929785,pizza,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,3.0,Philadelphia,6151 Ridge Ave,54
The Lunar Inn,39.9822933,-75.1031599,bars,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.5,Philadelphia,3124 Richmond St,29
Chase's Hop Shop,40.0603863,-75.0845897,chicken wings,"{'delivery': 'None', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}",low,4.5,Philadelphia,7235 Rising Sun Ave,116
Beck's Cajun Cafe,39.9533224742,-75.1590000821,cajun/creole,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.0,Philadelphia,51 N 12th St,485
Golden Triangle,39.9415201345,-75.1509702725,malaysian,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'None', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.5,Philadelphia,610 S 5th St,159
Breakfast Boutique Chestnut Hill,40.0771492176,-75.2087070076,breakfast & brunch,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}",medium,3.0,Philadelphia,8630 Germantown Ave,151
Forin Cafe,39.9813471541,-75.1322471288,shopping,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'True', 'parking': 'False'}",medium,4.5,Philadelphia,"2041 Coral St, Ste 2",10
Tony's Luke,39.8773236045,-75.2436721818,cheesesteaks,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': None, 'lot': False, 'valet': False}""}",medium,2.5,Philadelphia,8500 Essington Ave,172
Sunoco,39.983319,-75.101136,delis,"{'delivery': 'False', 'takeout': 'False', 'outdoor': 'False', 'parking': 'False'}",low,2.5,Philadelphia,3200 Richmond St,8
Mood Cafe,39.9486639126,-75.2158315415,cafes,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.5,Philadelphia,4618 Baltimore Ave,458
Wilson's Market,40.0390528,-75.1438169,specialty food,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,3.5,Philadelphia,1337 W Olney Ave,13
Southgate,39.9455687,-75.1717901,breakfast & brunch,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,1801 Lombard St,323
Falls Deli,40.0128847,-75.1901845,bagels,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.5,Philadelphia,3492 Tilden St,31
Angelina's,39.940221217,-75.1557966694,italian,"{'delivery': 'True', 'takeout': 'False', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",high,4.5,Philadelphia,743 S 8th St,49
Crown Fried Chicken,39.971145,-75.15902,chicken wings,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': 'False'}",low,3.5,Philadelphia,933 N Broad St,11
Gigi and Big R,39.9512903,-75.1992768,caribbean,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': False, u'validated': None}""}",medium,4.0,Philadelphia,38th and Spruce,81
O Sole Mio,39.9378287,-75.1482632,seafood,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': None, 'street': None, 'validated': None, 'lot': False, 'valet': False}""}",medium,4.5,Philadelphia,250 Catharine St,85
Fine Wine & Good Spirits - Premium Collection,39.9500812,-75.1593054,beer,"{'delivery': 'False', 'takeout': 'False', 'outdoor': 'False', 'parking': 'False'}",medium,2.0,Philadelphia,"1112 Chestnut St, Ste 28",7
Taqueria La Hacienda,40.02202,-75.1240606,latin american,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'None', 'parking': 'False'}",low,3.5,Philadelphia,4715 N Front St,10
Butter's Soul Food,39.9741307,-75.1815903,caterers,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,3.0,Philadelphia,2730 W Girard Ave,77
Alchemy Coffee,39.9511237,-75.1755163,coffee & tea,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{u'valet': False, u'garage': None, u'street': None, u'lot': False, u'validated': None}""}",medium,5.0,Philadelphia,119 S 21st St,19
Cannuli's Quality Meats & Poultry,39.9378963,-75.1579013,specialty food,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.5,Philadelphia,937 S 9th St,38
Saladworks,39.9557501,-75.1819889,salad,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': 'False'}",low,3.5,Philadelphia,"2955 Market St, Ste 221",8
Olly,39.9408776,-75.1511064,pizza,"{'delivery': 'False', 'takeout': 'False', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,700 S 5th St,51
Spice Grill,39.9862724,-75.094699,chinese,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,3.5,Philadelphia,3447-61 Richmond St,12
Han Dynasty,39.9567105161,-75.1971027811,chinese,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'None', 'parking': ""{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': False}""}",medium,4.0,Philadelphia,3711 Market St,783
Guavaberry Foods & Drinks ,39.938371,-75.1501031,delis,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,776 S 4th St,13
John's Seafood,39.9709958,-75.1581617,seafood,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}""}",low,3.0,Philadelphia,1326 W Girard Ave,9
México Lindo,39.926402,-75.1575374,mexican,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.5,Philadelphia,700 Moore St,73
Junes Breakfast,39.9850064107,-75.246888042,breakfast & brunch,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,2.5,Philadelphia,6227 Lancaster Ave,20
Lincoln Chicken Pizza And Grill,39.9738754,-75.1794242,cheesesteaks,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': 'False'}",low,2.5,Philadelphia,2614 W Girard Ave,20
Crab & Claw,40.0719622,-75.157311,seafood markets,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",medium,3.0,Philadelphia,7801 Ogontz Ave,65
Urban Eatery,39.9570681,-75.1916189,food court,"{'delivery': 'False', 'takeout': 'False', 'outdoor': 'False', 'parking': 'False'}",medium,2.0,Philadelphia,3400 Lancaster Ave,9
Dragon House,39.9503586,-75.1615836,chinese,{},medium,4.0,Philadelphia,1228 Chestnut St,5
Buca D’Oro ,39.9470772078,-75.1541655511,italian,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'True', 'parking': 'False'}",medium,4.0,Philadelphia,711 Locust St,5
Pho Nam Giang,40.0860776,-74.9648083509,chinese,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{u'valet': False, u'garage': None, u'street': True, u'lot': None, u'validated': False}""}",medium,4.5,Philadelphia,427 Franklin Mills Cir,23
Chuck's Alibi,40.061417,-75.0833451,seafood,"{'delivery': 'None', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': True}""}",medium,2.0,Philadelphia,7301 Oxford Ave,76
J'aime French Bakery,39.948081,-75.1608093,juice bars & smoothies,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.5,Philadelphia,212 S 12th St,310
Lucky Wok Restaurant,40.0342865,-75.1307075,chinese,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,2.5,Philadelphia,5431 N 5th St,6
Mike's Breakfast,40.045729,-75.11891,breakfast & brunch,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,3.0,Philadelphia,"6201 N Front St, Ste 16",15
Pub & Kitchen,39.9456566,-75.1747733,pubs,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}",medium,3.5,Philadelphia,1946 Lombard St,615
Quality Pizza,40.0509209,-75.094581,pizza,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",medium,3.0,Philadelphia,6438 Rising Sun Ave,19
Three 12 Sport Bar and Lounge,39.9499452,-75.146352,lounges,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}",medium,2.5,Philadelphia,312 Market St,33
Hammerheads Bar & Grille,40.0374692,-75.0417837,dive bars,"{'delivery': 'False', 'takeout': 'False', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,2.5,Philadelphia,3517 Cottman Ave,15
Square 1682,39.9508011,-75.1686108,american (new),"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}""}",medium,3.5,Philadelphia,121 S 17th St,385
Franzone's Pizzeria & Restaurant,40.026465,-75.2244958,pizza,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,3.5,Philadelphia,114 Levering St,110
Vientiane Café,39.9483087,-75.2178905,vietnamese,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,4728 Baltimore Ave,304
Menchie's Frozen Yogurt,40.076192,-75.031427,desserts,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",low,4.0,Philadelphia,9173 Roosevelt Blvd,19
Passero's Coffee Roasters,39.9542012,-75.1674658,coffee & tea,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.5,Philadelphia,1601 John F Kennedy Blvd,91
Starbucks,39.96651,-75.140377,coffee & tea,"{'delivery': 'False', 'takeout': 'False', 'outdoor': 'False', 'parking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': None, u'validated': None}""}",medium,2.5,Philadelphia,1018 N 2nd St,13
Domino's Pizza,39.9453395,-75.238934,pizza,{},medium,2.0,Philadelphia,5754 Baltimore Ave,5
Gachi Sushi and Noodle,39.8946117,-75.2292952,noodles,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,"8500 Essington Ave, A West Terminal",95
Goody's Pizza,40.0274889,-75.0611831,pizza,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,2.0,Philadelphia,6237 Frankford Ave,25
Little Caesars Pizza,39.9139475,-75.1520299,pizza,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,3.0,Philadelphia,200 W Oregon Ave,10
George's Wings,40.0643044322,-74.9868814021,american (traditional),"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}",low,3.5,Philadelphia,3818 Morrell Ave,50
Vineyards Cafe,39.969939,-75.163026,coffee & tea,"{'delivery': 'True', 'takeout': 'False', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.5,Philadelphia,847 N 16th St,192
PrimoHoagies,39.9209271,-75.1733058,delis,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.0,Philadelphia,1528 W Ritner St,43
Hyon's Seafood,39.9350405,-75.179381,seafood,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",medium,3.5,Philadelphia,1320 S 21st St,5
Ron's Caribbean Cuisine,40.0407573,-75.1448014,ethnic food,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,5726 N Broad St,142
Tom's Corner Grill & Pizza,40.0406177,-75.0438084,pizza,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,3.5,Philadelphia,7375 Crabtree St,11
Los Compadres,39.9553865,-75.1910637,mexican,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,4.0,Philadelphia,3300 Market St,12
Rittenhouse Market,39.9478453288,-75.1708737016,grocery,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",high,2.5,Philadelphia,1733 Spruce St,113
Los Potrillos,40.0123759,-75.1124633,american (traditional),"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': 'False'}",medium,4.0,Philadelphia,4200 G St.,17
Kurry Shack,39.9229257,-75.1525267,vegetarian,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': None, 'street': None, 'validated': False, 'lot': False, 'valet': False}""}",medium,3.5,Philadelphia,2015 E Moyamensing Ave,29
Wawa,39.953351,-75.172624,automotive,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,2.5,Philadelphia,19th St & Market St,45
The Black Sheep Pub & Restaurant,39.9484223,-75.1692901,bars,"{'delivery': 'None', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,3.5,Philadelphia,247 S 17th St,339
CVS Pharmacy,40.018625,-75.214313,shopping,"{'delivery': 'True', 'takeout': 'False', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",low,3.0,Philadelphia,3780 Main St,33
Hunnies Crispy Chicken,39.9491591674,-75.1671322221,chicken shop,"{'delivery': 'None', 'takeout': 'None', 'outdoor': 'False', 'parking': 'False'}",medium,2.0,Philadelphia,223 S Sydenham St,5
Slices Pizza,40.0096537,-75.1954732,pizza,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.0,Philadelphia,4249 Ridge Ave,122
Lazos Pizza & Grill,39.9727751034,-75.1789870874,pizza,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.0,Philadelphia,2533 Poplar St,176
New England Pizza,40.0400368,-75.0662936,pizza,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,3.0,Philadelphia,6728 Bustleton Ave,22
Ramble Pizza,39.9793657,-75.1253492,pizza,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,4.5,Philadelphia,,19
Sue's Market,39.946233,-75.1455404,beer,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': 'False'}",medium,4.0,Philadelphia,275 St James Pl,9
Brûlée Catering,39.9299319,-75.1465054,event planning & services,"{'delivery': 'False', 'takeout': 'False', 'outdoor': 'False', 'parking': 'False'}",medium,5.0,Philadelphia,1406 S Front St,7
Domino's Pizza,39.9178706,-75.1869588,sandwiches,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,2.0,Philadelphia,"2308 W Oregon Ave, Ste C",26
Charlie's Roast Pork,39.9315335419,-75.1496175304,breakfast & brunch,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.5,Philadelphia,1301 S 3rd St,30
Dunkin',39.979683,-75.2697307,coffee & tea,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,2.0,Philadelphia,7520 City Line Ave,10
New Liberty Distillery,39.9737458,-75.1405645,beer,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.5,Philadelphia,1431 N Cadwallader St,48
Starbucks,39.949485,-75.1673521,coffee & tea,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': False}""}",medium,3.0,Philadelphia,1528 Walnut St,39
Tomo Sushi & Ramen,39.951923,-75.144335,japanese,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': None}""}",medium,4.5,Philadelphia,228 Arch St,193
